"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"84";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2013";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"49 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"85";"Trimbach";"Clos Sainte Hune Riesling Alsace 1989";"Whites";"France
·
Alsace";"4.7";"48 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"86";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Auslese 1998";"Whites";"Germany
·
Wehlen";"4.7";"48 ratings";"https://images.vivino.com/thumbs/z7B_lm7URWy88F0inHlZ-w_pb_x300.png"
"87";"Aubert";"Chardonnay CIX 2012";"Whites";"United States
·
Sonoma Coast";"4.7";"48 ratings";"https://images.vivino.com/thumbs/mPWBSs3FQHuG52fEionjYQ_pb_x300.png"
"88";"M. Chapoutier";"Ermitage Le Méal Blanc 2007";"Whites";"France
·
Hermitage";"4.7";"48 ratings";"https://images.vivino.com/thumbs/e8iQmynXSRq_uYHKMdPMlQ_pb_x300.png"
"89";"Paul Hobbs";"Ellen Lane Estate Chardonnay 2015";"Whites";"United States
·
Russian River Valley";"4.7";"48 ratings";"https://images.vivino.com/thumbs/5i1iFN1OQlKJZHczprDV9Q_pb_x300.png"
"90";"Egon Müller - Scharzhof";"Scharzhofberger Riesling Spätlese 2015";"Whites";"Germany
·
Wiltingen";"4.7";"47 ratings";"https://images.vivino.com/thumbs/NwRt7c2oQF6-mdBgs9gSLQ_pb_x300.png"
"91";"Jean-Claude Ramonet";"Bâtard-Montrachet Grand Cru 2008";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"46 ratings";"https://images.vivino.com/thumbs/tEeCQZd1TRGH39Pc8iOsHQ_pb_x300.png"
"92";"Morlet Family Vineyards";"La Proportion Dorée 2014";"Whites";"United States
·
Sonoma County";"4.7";"46 ratings";"https://images.vivino.com/thumbs/eObKTco1QMGqzOuiZz8wlg_pb_x300.png"
"93";"Etienne Sauzet";"Bâtard-Montrachet Grand Cru 2009";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"43 ratings";"https://images.vivino.com/thumbs/vwvrxO2IRq2nA3G3DXG6AQ_pb_x300.png"
"94";"Von Winning";"Marmar 2015";"Whites";"Germany
·
Pfalz";"4.7";"43 ratings";"https://images.vivino.com/thumbs/AWCELgR_SYWn2lIZ2byjgg_pb_x300.png"
"95";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2003";"Whites";"France
·
Montrachet Grand Cru";"4.7";"43 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"96";"Hiedler";"Familienreserve 2010";"Whites";"Austria
·
Kamptal";"4.7";"45 ratings";"https://images.vivino.com/thumbs/WqrH0CyxSHSfR94ExP2dyg_pb_x300.png"
"97";"Domaine Coche-Dury";"Puligny-Montrachet Les Enseignères 2007";"Whites";"France
·
Puligny-Montrachet";"4.7";"41 ratings";"https://images.vivino.com/thumbs/rnSiwow4TqSCtPugr3mC2Q_pb_x300.png"
