"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"243";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 2010";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"98 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"244";"Domaine Coche-Dury";"Meursault Les Rougeots 2009";"Whites";"France
·
Meursault";"4.6";"98 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"245";"Rafael Palacios";"Sorte O Soro Val do Bibei 2015";"Whites";"Spain
·
Valdeorras";"4.6";"96 ratings";"https://images.vivino.com/thumbs/zIh4iW-pRNim7pLF_q2QAg_pb_x300.png"
"246";"Jean Chartron";"Corton-Charlemagne Grand Cru N.V.";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"96 ratings";"https://images.vivino.com/thumbs/I4O63FNbSfSXf3mSyqKArQ_pb_x300.png"
"247";"Cullen";"Kevin John Chardonnay 2012";"Whites";"Australia
·
Margaret River";"4.6";"92 ratings";"https://images.vivino.com/thumbs/u7OPwBB8Qs2VUxRsrSOoFA_pb_x300.png"
"248";"Trimbach";"Clos Sainte Hune Riesling Alsace 2004";"Whites";"France
·
Alsace";"4.6";"92 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"249";"Egon Müller - Scharzhof";"Scharzhofberger Riesling Auslese 2011";"Whites";"Germany
·
Wiltingen";"4.6";"92 ratings";"https://images.vivino.com/thumbs/V_iEN64AR7GyB20KeOkA0Q_pb_x300.png"
"250";"Trimbach";"Clos Sainte Hune Riesling Alsace 2003";"Whites";"France
·
Alsace";"4.6";"92 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"251";"Peter Michael";"La Carriere Chardonnay 2013";"Whites";"United States
·
Knights Valley";"4.6";"92 ratings";"https://images.vivino.com/thumbs/KuRAb0xzRI2Uvgm-S_XBmw_pb_x300.png"
"252";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 2001";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"89 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"253";"Clos Rougeard";"Brézé Saumur Blanc 2010";"Whites";"France
·
Saumur";"4.6";"88 ratings";"https://images.vivino.com/thumbs/tUOECBfBTuCJzAegm2aK5A_pb_x300.png"
"254";"Domaine Yves Gangloff";"Condrieu 2014";"Whites";"France
·
Condrieu";"4.6";"88 ratings";"https://images.vivino.com/thumbs/tqIGE6zpT5qjI2pWy3vTtw_pb_x300.png"
"255";"Didier Dagueneau (Louis-Benjamin Dagueneau)";"Buisson Renard 2007";"Whites";"France
·
Pouilly-Fumé";"4.6";"81 ratings";"https://images.vivino.com/thumbs/EsW3ya7wTQKo7DRfEhlx_g_pb_x300.png"
"256";"Forstmeister Geltz-Zilliken";"Saarburger Rausch Riesling Auslese 2010";"Whites";"Germany
·
Mosel";"4.6";"80 ratings";"https://images.vivino.com/thumbs/nGTRT9dgTROO9eG9ZpF-kg_pb_x300.png"
"257";"Alain Geoffroy";"Chablis Grand Cru 'Les Clos' 2013";"Whites";"France
·
Chablis Grand Cru 'Les Clos'";"4.6";"77 ratings";"https://images.vivino.com/thumbs/HcDtUT5SS4yGEDKNbiokOA_pb_x300.png"
"258";"Joseph Drouhin";"Beaune 1er Cru 'Clos des Mouches' Blanc 2016";"Whites";"France
·
Beaune 1er Cru 'Le Clos des Mouches'";"4.6";"76 ratings";"https://images.vivino.com/thumbs/bPwERMF4RFK3neCnspTFdA_pb_x300.png"
"259";"Kistler";"Durell Vineyard Chardonnay 2013";"Whites";"United States
·
Sonoma Coast";"4.6";"75 ratings";"https://images.vivino.com/thumbs/LRP0S8JrRQijCjemChbtaA_pb_x300.png"
"260";"Domaine Leflaive";"Puligny-Montrachet 1er Cru Les Pucelles 2015";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"75 ratings";"https://images.vivino.com/thumbs/6_Co3020RKCKxGqSX8PTIQ_pb_x300.png"
"261";"Montonale";"Orestilla 2017";"Whites";"Italy
·
Lugana";"4.6";"74 ratings";"https://images.vivino.com/thumbs/WEz28gh4QjK8VckcwEWBeQ_pb_x300.png"
"262";"F.X. Pichler";"Unendlich Riesling 2013";"Whites";"Austria
·
Wachau";"4.6";"72 ratings";"https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png"
"263";"Keller";"Kirchspiel Riesling GG 2015";"Whites";"Germany
·
Rheinhessen";"4.6";"71 ratings";"https://images.vivino.com/thumbs/3hM2pVPBQBWXRixHJHp_AQ_pb_x300.png"
"264";"René Lequin-Colin";"Chassagne-Montrachet Premier Cru 'Les Vergers' 2013";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Les Vergers'";"4.6";"71 ratings";"https://images.vivino.com/highlights/icon/top_ranked.svg"
"265";"Kistler";"Dutton Ranch Chardonnay 2014";"Whites";"United States
·
Sonoma Coast";"4.6";"71 ratings";"https://images.vivino.com/thumbs/x58J7R8URNiPJQDwHkJrKw_pb_x300.png"
"266";"Chateau Montelena";"Chardonnay 1973";"Whites";"United States
·
Napa Valley";"4.6";"71 ratings";"https://images.vivino.com/thumbs/DI-lAzdCS5K-MWySzyj_Fg_pb_x300.png"
"267";"Guerrieri";"Guerriero del Mare 2017";"Whites";"Italy
·
Marche";"4.6";"70 ratings";"https://images.vivino.com/thumbs/DPTu_OHCTL2zwFQtiVNbrA_pb_x300.png"
"268";"Domaine Leflaive";"Puligny-Montrachet 1er Cru Les Pucelles 1996";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"67 ratings";"https://images.vivino.com/thumbs/6_Co3020RKCKxGqSX8PTIQ_pb_x300.png"
"269";"Peter Michael";"Mon Plaisir Chardonnay 2013";"Whites";"United States
·
Knights Valley";"4.6";"66 ratings";"https://images.vivino.com/thumbs/kI7dIYpZQWK1D2GCeQ4D2g_pb_x300.png"
"270";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2004";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"66 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"271";"Domaine Jacques Prieur";"Montrachet Grand Cru Blanc 2008";"Whites";"France
·
Montrachet Grand Cru";"4.6";"64 ratings";"https://images.vivino.com/thumbs/S9AYHXMaT7mXIVdpxB-juA_pb_x300.png"
"272";"Kistler";"Stone Flat Vineyard Chardonnay 2014";"Whites";"United States
·
Sonoma Coast";"4.6";"64 ratings";"https://images.vivino.com/thumbs/ke1_wyNvTVW3JOUIb2al2A_pb_x300.png"
"273";"Peter Michael";"La Carriere Chardonnay 2011";"Whites";"United States
·
Knights Valley";"4.6";"63 ratings";"https://images.vivino.com/thumbs/KuRAb0xzRI2Uvgm-S_XBmw_pb_x300.png"
"274";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Auslese 1995";"Whites";"Germany
·
Wehlen";"4.6";"63 ratings";"https://images.vivino.com/thumbs/z7B_lm7URWy88F0inHlZ-w_pb_x300.png"
"275";"Domaine des Comtes Lafon";"Meursault-Perrières Premier Cru 2009";"Whites";"France
·
Meursault Premier Cru";"4.6";"63 ratings";"https://images.vivino.com/thumbs/CHcdmEQ1QAeKnKcX96AghA_pb_x300.png"
"276";"Domaine des Héritiers Louis Jadot";"Corton-Charlemagne Grand Cru 2015";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"62 ratings";"https://images.vivino.com/thumbs/BUXBYkO4TEaOSKHBjRjqRQ_pb_x300.png"
"277";"Peter Michael";"Belle Côte Chardonnay 2011";"Whites";"United States
·
Knights Valley";"4.6";"62 ratings";"https://images.vivino.com/thumbs/EWNIy5joRa-TxGeICF4Kxw_pb_x300.png"
"278";"Giaconda";"Estate Vineyard Chardonnay 2014";"Whites";"Australia
·
Beechworth";"4.6";"61 ratings";"https://images.vivino.com/thumbs/sG8QtW-zTdCtddOUYgs_hw_pb_x300.png"
"279";"Peter Michael";"La Carriere Chardonnay 2016";"Whites";"United States
·
Knights Valley";"4.6";"61 ratings";"https://images.vivino.com/thumbs/KuRAb0xzRI2Uvgm-S_XBmw_pb_x300.png"
"280";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2002";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"61 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"281";"Olivier Leflaive";"Bâtard-Montrachet Grand Cru 2013";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"61 ratings";"https://images.vivino.com/thumbs/pWOdFPoyQ427uoHW_l941g_pb_x300.png"
"282";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2011";"Whites";"France
·
Montrachet Grand Cru";"4.6";"60 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"283";"Sine Qua Non";"Entre Chien et Loup 2015";"Whites";"United States
·
Central Coast";"4.6";"60 ratings";"https://images.vivino.com/thumbs/Wdhc5PnSRh2g43ZI3s-CWA_pb_x300.png"
"284";"Domaine Roulot";"Meursault 1er Cru 'Clos des Bouchères' Monopole 2013";"Whites";"France
·
Meursault 1er Cru 'Les Bouchères'";"4.6";"59 ratings";"https://images.vivino.com/thumbs/DOcDczgsSOSmkAG5GjSyJQ_pb_x300.png"
"285";"Franz Hirtzberger";"Singerriedel - Riesling Smaragd 2009";"Whites";"Austria
·
Wachau";"4.6";"58 ratings";"https://images.vivino.com/thumbs/W7Tblf6DSU6rZjeCpIkJ8Q_pb_x300.png"
"286";"Philippe Bouzereau - Chateau de Citeaux";"Meursault 1er Cru 'Perrières' 2011";"Whites";"France
·
Meursault 1er Cru 'Perrières'";"4.6";"57 ratings";"https://images.vivino.com/thumbs/V0ybouHMQQa5Xu_Pj8GlQA_pb_x300.png"
"287";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2005";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"57 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"288";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2000";"Whites";"France
·
Montrachet Grand Cru";"4.6";"57 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"289";"Domaine des Comtes Lafon";"Meursault-Gouttes D'Or Premier Cru 2011";"Whites";"France
·
Meursault Premier Cru";"4.6";"57 ratings";"https://images.vivino.com/thumbs/xcnXGj2-Sa6kRZXlr2b0Ww_pb_x300.png"
"290";"Morlet Family Vineyards";"Chardonnay Ma Princesse 2013";"Whites";"United States
·
Russian River Valley";"4.6";"57 ratings";"https://images.vivino.com/thumbs/Oxokhd-lR4iOQ64hYG4t1w_pb_x300.png"
"291";"Olivier Leflaive";"Corton-Charlemagne Grand Cru 2013";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"57 ratings";"https://images.vivino.com/thumbs/dPrnpmaNS5a5sgvb4TsunA_pb_x300.png"
"292";"Michel Juillot";"Corton-Charlemagne Grand Cru 2011";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"56 ratings";"https://images.vivino.com/thumbs/LbGb8m6hTeitdD0g3ZAQMw_pb_x300.png"
"293";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Auslese 1997";"Whites";"Germany
·
Wehlen";"4.6";"56 ratings";"https://images.vivino.com/thumbs/z7B_lm7URWy88F0inHlZ-w_pb_x300.png"
"294";"Domaine Chapuis";"Corton-Charlemagne Grand Cru 2008";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"56 ratings";"https://images.vivino.com/thumbs/1qMej-1RSaG7s_z1xOfq9Q_pb_x300.png"
"295";"Marcassin";"Marcassin Vineyard Chardonnay 2008";"Whites";"United States
·
Sonoma Coast";"4.6";"55 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"296";"Louis Jadot";"Bâtard-Montrachet Grand Cru 2009";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"55 ratings";"https://images.vivino.com/thumbs/RIMuIFwaQVa-HkHKNztfxA_pb_x300.png"
"297";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2010";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"55 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"298";"Clos Rougeard";"Brézé Saumur Blanc 2005";"Whites";"France
·
Saumur";"4.6";"55 ratings";"https://images.vivino.com/thumbs/tUOECBfBTuCJzAegm2aK5A_pb_x300.png"
"299";"Joseph Drouhin";"Meursault 1er Cru 'Perrières' 2013";"Whites";"France
·
Meursault 1er Cru 'Perrières'";"4.6";"55 ratings";"https://images.vivino.com/thumbs/pvNGBFhFSLKFin1vIX_KQA_pb_x300.png"
"300";"Uva Mira Mountain Vineyards";"Chardonnay 2012";"Whites";"South Africa
·
Stellenbosch";"4.6";"54 ratings";"https://images.vivino.com/thumbs/AZ9GPtXgQ2-XUH9AKkusaQ_pb_x300.png"
"301";"Keller";"Abts Erde Riesling 2015";"Whites";"Germany
·
Rheinhessen";"4.6";"54 ratings";"https://images.vivino.com/thumbs/e-wQMtuaTqORgDsptlx5ng_pb_x300.png"
"302";"Bouchard Père & Fils";"Chevalier-Montrachet Grand Cru Blanc 2010";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"54 ratings";"https://images.vivino.com/thumbs/CdGn0JdOTzacM8w2FJQhKg_pb_x300.png"
"303";"Masi";"Masianco Pinot Grigio - Verduzzo 2001";"Whites";"Italy
·
Venezia";"4.6";"53 ratings";"https://images.vivino.com/thumbs/PTbCaX-GT3GPKOIC7tGH6g_pb_x300.png"
"304";"Louis Jadot";"Bâtard-Montrachet Grand Cru 2012";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"53 ratings";"https://images.vivino.com/thumbs/RIMuIFwaQVa-HkHKNztfxA_pb_x300.png"
"305";"Rombauer Vineyards";"Chardonnay 2001";"Whites";"United States
·
Los Carneros";"4.6";"53 ratings";"https://images.vivino.com/thumbs/wofRa9S3T2eqYtwZlpx9IA_pb_x300.png"
"306";"Dal Forno Romano";"Nettare Veneto Bianco N.V.";"Whites";"Italy
·
Veneto";"4.6";"54 ratings";"https://images.vivino.com/thumbs/wO3jXKckRA-USr-C7HT1NA_pb_x300.png"
"307";"Domaine Bohrmann";"Puligny-Montrachet 'Grands Champs' 2010";"Whites";"France
·
Puligny-Montrachet";"4.6";"53 ratings";"https://images.vivino.com/thumbs/v4X5v0QJQ0eQlPc9B8YlTQ_pb_x300.png"
"308";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 1999";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"53 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"309";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 2014";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"52 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"310";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2009";"Whites";"France
·
Montrachet Grand Cru";"4.6";"52 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"311";"Château Mouton Rothschild";"Aile d'Argent Blanc Bordeaux 1975";"Whites";"France
·
Bordeaux";"4.6";"52 ratings";"https://images.vivino.com/thumbs/mUcYdy79QZyMIo3tsiKq8A_pb_x300.png"
"312";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Auslese 1983";"Whites";"Germany
·
Wehlen";"4.6";"52 ratings";"https://images.vivino.com/thumbs/z7B_lm7URWy88F0inHlZ-w_pb_x300.png"
"313";"Cakebread";"Chardonnay Reserve 2008";"Whites";"United States
·
Los Carneros";"4.6";"51 ratings";"https://images.vivino.com/thumbs/yVFnJFJ9QHOCAYmvFedERw_pb_x300.png"
"314";"Markus Molitor";"Wehlener Sonnenuhr Riesling Auslese 2015";"Whites";"Germany
·
Mosel";"4.6";"51 ratings";"https://images.vivino.com/thumbs/faerPtwPSN-fvokzTc6IUQ_pb_x300.png"
"315";"Domaine Coche-Dury";"Meursault Les Rougeots 2008";"Whites";"France
·
Meursault";"4.6";"51 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"316";"Peter Michael";"Belle Côte Chardonnay 2010";"Whites";"United States
·
Knights Valley";"4.6";"51 ratings";"https://images.vivino.com/thumbs/EWNIy5joRa-TxGeICF4Kxw_pb_x300.png"
"317";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 2015";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"51 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"318";"Rafael Palacios";"Sorte O Soro Val do Bibei 2016";"Whites";"Spain
·
Valdeorras";"4.6";"50 ratings";"https://images.vivino.com/thumbs/zIh4iW-pRNim7pLF_q2QAg_pb_x300.png"
"319";"Kosta Browne";"One Sixteen Chardonnay 2017";"Whites";"United States
·
Russian River Valley";"4.6";"50 ratings";"https://images.vivino.com/thumbs/iYxPy13lS_GpIRY_FKFyYg_pb_x300.png"
"320";"J. Rochioli";"River Block Chardonnay 2013";"Whites";"United States
·
Russian River Valley";"4.6";"49 ratings";"https://images.vivino.com/thumbs/_-D5u5qPQQmc3LDTJDgFuw_pb_x300.png"
"321";"Domaine Leflaive";"Bienvenues-Bâtard-Montrachet Grand Cru 2011";"Whites";"France
·
Bienvenues-Bâtard-Montrachet Grand Cru";"4.6";"49 ratings";"https://images.vivino.com/thumbs/qhfegylxSw6KORIIVt8Lmg_pb_x300.png"
"322";"Mouchao";"Alentejo Dom Rafael Branco 2008";"Whites";"Portugal
·
Alentejo";"4.6";"49 ratings";"https://images.vivino.com/thumbs/v1HrU-gQSA-K6p-Q26zRxw_pb_x300.png"
"323";"Domaine Coche-Dury";"Puligny-Montrachet Les Enseignères 2009";"Whites";"France
·
Puligny-Montrachet";"4.6";"49 ratings";"https://images.vivino.com/thumbs/rnSiwow4TqSCtPugr3mC2Q_pb_x300.png"
"324";"Jean-Claude Ramonet";"Chassagne-Montrachet Premier Cru 'Morgeot' Blanc 2010";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Morgeot'";"4.6";"49 ratings";"https://images.vivino.com/thumbs/9JPBS8OPR36TY_irugF98w_pb_x300.png"
"325";"Fantesca Estate";"Chardonnay 2015";"Whites";"United States
·
Russian River Valley";"4.6";"49 ratings";"https://images.vivino.com/thumbs/M8fSzJv6QMORODa6KeyP3g_pb_x300.png"
"326";"Daniel & Marta Gantenbein";"Chardonnay 2013";"Whites";"Switzerland
·
Graubünden";"4.6";"49 ratings";"https://images.vivino.com/thumbs/A8JXP6kTRIiIoJIZ2Ntbtg_pb_x300.png"
"327";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2001";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"48 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"328";"Not a Wine";"Meukow Collection Terroir Fins Bois Pineau Des Charentes N.V.";"Whites";"France
·
Cognac";"4.6";"48 ratings";"https://thumbs.vivino.com/avatars/717925_407712_big_app_50x50.jpg"
"329";"Thierry Pillot";"Bâtard-Montrachet Grand Cru N.V.";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"48 ratings";"https://images.vivino.com/thumbs/uGxkzB6nRzuCXamCFBZj9A_pb_x300.png"
"330";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Spätlese 2005";"Whites";"Germany
·
Wehlen";"4.6";"47 ratings";"https://images.vivino.com/thumbs/H6y8DYFpT-OkXnzNtyO43g_pb_x300.png"
"331";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2001";"Whites";"France
·
Montrachet Grand Cru";"4.6";"47 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"332";"Coppo";"Chardonnay Piemonte Riserva della Famiglia 2007";"Whites";"Italy
·
Piemonte";"4.6";"47 ratings";"https://images.vivino.com/thumbs/37lN6oJfQjWbjFqOKa49JA_pb_x300.png"
"333";"Markus Molitor";"Zeltinger Sonnenuhr Riesling Auslese*** 2002";"Whites";"Germany
·
Mosel";"4.6";"47 ratings";"https://images.vivino.com/thumbs/cRfUP4-9Q_ekH1Ml_kSwcg_pb_x300.png"
"334";"Jean-Claude Ramonet";"Chassagne-Montrachet Premier Cru 'Les Ruchottes' Blanc 2015";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Les Grandes Ruchottes'";"4.6";"47 ratings";"https://images.vivino.com/thumbs/XvOxHjgLR5CVqIstKpxT3w_pb_x300.png"
"335";"Sadie Family";"Mev. Kirsten (Die Ouwingerdreeks) 2015";"Whites";"South Africa
·
Stellenbosch";"4.6";"46 ratings";"https://images.vivino.com/thumbs/pkBlRgINScGaWW_7V4RAHw_pb_x300.png"
"336";"Pahlmeyer";"Napa Valley Chardonnay 2009";"Whites";"United States
·
Napa Valley";"4.6";"46 ratings";"https://images.vivino.com/thumbs/gAydmmSBTr-4FbYj9An_eA_pb_x300.png"
"337";"Domaine Weinbach";"Clos des Capucins Cuvée Sainte Catherine L'Inédit Riesling Alsace Grand Cru Schlossberg 2009";"Whites";"France
·
Alsace Grand Cru";"4.6";"46 ratings";"https://images.vivino.com/thumbs/DKBktjSHRiSnFyHUxMcyuQ_pb_x300.png"
"338";"Eisele Vineyard";"Viognier N.V.";"Whites";"United States
·
Napa Valley";"4.6";"46 ratings";"https://images.vivino.com/thumbs/7dxxujnUS36_KaTKL_bcvw_pb_x300.png"
"339";"Olivier Leflaive";"Bâtard-Montrachet Grand Cru 2014";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"46 ratings";"https://images.vivino.com/thumbs/pWOdFPoyQ427uoHW_l941g_pb_x300.png"
"340";"Hartmann Donà";"Donà Blanc 2012";"Whites";"Italy
·
Trentino-Alto Adige";"4.6";"46 ratings";"https://images.vivino.com/thumbs/2cnKeOdmSk-2_v_zc6du8g_pb_x300.png"
"341";"Giaconda";"Estate Vineyard Chardonnay 2004";"Whites";"Australia
·
Beechworth";"4.6";"46 ratings";"https://images.vivino.com/thumbs/sG8QtW-zTdCtddOUYgs_hw_pb_x300.png"
"342";"Domaine de Montille";"Puligny-Montrachet 1er Cru Le Cailleret 2006";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"46 ratings";"https://images.vivino.com/thumbs/Q7YsINAjSXKoF-bReiq9Zg_pb_x300.png"
"343";"Williams Selyem";"Olivet Lane Vineyard Chardonnay 2015";"Whites";"United States
·
Russian River Valley";"4.6";"45 ratings";"https://images.vivino.com/thumbs/291cKtTVRiOI1GCoMQTb0g_pb_x300.png"
"344";"Didier Dagueneau (Louis-Benjamin Dagueneau)";"Le Mont Damné Chavignol 2014";"Whites";"France
·
Sancerre";"4.6";"45 ratings";"https://images.vivino.com/thumbs/bCU5hgtaScy5mwz2xkQRTA_pb_x300.png"
"345";"Aubert";"Chardonnay Ritchie Vineyard 2014";"Whites";"United States
·
Sonoma Coast";"4.6";"45 ratings";"https://images.vivino.com/thumbs/JoUVZv1yR9GFHUjPjaWCVg_pb_x300.png"
"346";"J.M. Boillot";"Puligny-Montrachet Premier Cru La Truffière 2015";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"45 ratings";"https://images.vivino.com/thumbs/X1wHrREaR5mFsu-OLK45Rg_pb_x300.png"
"347";"Cartuxa";"Pêra-Manca Branco 2002";"Whites";"Portugal
·
Evora";"4.6";"45 ratings";"https://images.vivino.com/thumbs/xILVphRlQV2wdzCZLzWg8g_pb_x300.png"
"348";"Domaine Jean-Louis Chave";"Hermitage Blanc 2014";"Whites";"France
·
Hermitage";"4.6";"45 ratings";"https://images.vivino.com/thumbs/qhSRAmvISw-I2Wbf1XeDMA_pb_x300.png"
"349";"Pierre-Yves Colin-Morey";"Corton-Charlemagne Grand Cru 2010";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"45 ratings";"https://images.vivino.com/thumbs/1aUROYhHSAet6_x7wS7Fdg_pb_x300.png"
"350";"Château d'Yquem";"Y 1995";"Whites";"France
·
Bordeaux Supérieur";"4.6";"45 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"351";"Realm";"Fidelio 2017";"Whites";"United States
·
Napa Valley";"4.6";"44 ratings";"https://images.vivino.com/thumbs/cHiiWWK8Sa2LD1BtI1i0qQ_pb_x300.png"
"352";"Château de Fesles";"Bonnezeaux 2001";"Whites";"France
·
Bonnezeaux";"4.6";"44 ratings";"https://images.vivino.com/thumbs/8a4cVpCuTuqM6SauOE39yw_pb_x300.png"
"353";"Ken Forrester";"The FMC Chenin Blanc 2008";"Whites";"South Africa
·
Stellenbosch";"4.6";"44 ratings";"https://images.vivino.com/thumbs/PSJ4rCFvRcaUWmX0-6USNA_pb_x300.png"
"354";"Bouchard Père & Fils";"Chevalier-Montrachet Grand Cru Blanc 2012";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"44 ratings";"https://images.vivino.com/thumbs/CdGn0JdOTzacM8w2FJQhKg_pb_x300.png"
"355";"Domaine Leflaive";"Puligny-Montrachet 1er Cru Les Combettes 2010";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"44 ratings";"https://images.vivino.com/thumbs/zSTCcglCSE2j3SDAzmqXeg_pb_x300.png"
"356";"Jean-Claude Ramonet";"Bâtard-Montrachet Grand Cru 2012";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"44 ratings";"https://images.vivino.com/thumbs/tEeCQZd1TRGH39Pc8iOsHQ_pb_x300.png"
"357";"Domaine Roger Belland";"Criots-Bâtard-Montrachet Grand Cru 2009";"Whites";"France
·
Criots-Bâtard-Montrachet Grand Cru";"4.6";"43 ratings";"https://images.vivino.com/thumbs/kcFZL-ajQ7uwpgW_8v4tlQ_pb_x300.png"
"358";"Bonneau du Martray";"Corton-Charlemagne Grand Cru 1989";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"43 ratings";"https://images.vivino.com/thumbs/oIEEHLtPQgidLfcJEoYalg_pb_x300.png"
"359";"Arnaud Ente";"Meursault 2015";"Whites";"France
·
Meursault";"4.6";"44 ratings";"https://images.vivino.com/thumbs/unAHcULjTSuHv0UJehsTrQ_pb_x300.png"
"360";"Man O' War";"Exiled 2015";"Whites";"New Zealand
·
Waiheke Island";"4.6";"43 ratings";"https://images.vivino.com/thumbs/3J4l2PBMTCOKdnG1p4eECg_pb_x300.png"
"361";"Château de Puligny Montrachet";"Meursault Premier Cru Les Perrieres 2009";"Whites";"France
·
Meursault Premier Cru";"4.6";"43 ratings";"https://images.vivino.com/thumbs/SJxXi6heTpujMyr2-cre9Q_pb_x300.png"
"362";"Domaine de Montille";"Puligny-Montrachet 1er Cru Le Cailleret 2013";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.6";"43 ratings";"https://images.vivino.com/thumbs/Q7YsINAjSXKoF-bReiq9Zg_pb_x300.png"
